Disease,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
AcidReflux,210.8461164,4190.769423,9730.700342,6170.66714,821.982299,15869.32554,6017.434013,22.38356554,1.314255315,7.69E-05,18.52047843,6.593212374,1.670927909,32.410715,72.08795402,16.46569818,189.9332474,262.4574132,2.400193223,1.397137329,2221.120973,66616.65049
Cavities,172.4649123,1162.54386,42438.77193,34574.73684,3224.561404,1299.035088,826.929825,0,0.708157895,0,8.218421053,11.80350877,0.517105263,36.07017544,33.49122807,21.07894737,340.2017544,14.45614035,0,0,0,54262.7193
FattyLiver,210.0110681,7432.098105,22857.25768,12142.2723,1202.787155,9429.707022,3351.491792,36.40544508,2.439251766,0.010961034,32.80267936,9.022095879,1.041871408,70.28929598,121.2518282,25.67961198,205.0012238,299.7937321,2.188027343,8.773653737,1031.819153,57687.64374
Gastritis,258.9538154,7940.351925,24540.19483,12583.04966,1217.861759,13662.12461,5267.835885,48.20798468,2.882812374,0.013263623,38.68614149,6.808949768,1.269115965,54.33604033,121.7514776,27.80572628,214.4583749,346.476272,3.888414752,11.03129682,1255.653356,50910.41729
Obesity,248.0141118,7501.707277,25765.49516,12918.32264,1066.087206,12718.5154,5002.395129,33.03467877,1.922636188,0.007459014,27.59570064,3.741571618,0.877049217,71.41971696,119.1616291,20.83286067,214.228288,347.4016789,1.766217985,8.14353022,825.143634,51519.4174
Pancreatitis,255.8502718,4920.109224,9196.112368,5775.799974,500.596219,20186.13281,7710.84723,28.84991725,1.439956589,0.0001,20.28120529,1.211849163,2.024712692,28.87623719,79.89671203,14.22111276,130.7250806,321.7705987,3.12025119,1.816278528,2887.457265,61444.71615
Type1Diabetes,223.9599319,5345.727469,34420.44938,9474.010469,2387.163867,7626.032565,2477.949575,7.414175608,2.402022863,0.022338915,14.58531179,5.479231595,0.893283888,73.8218947,103.6840634,28.39269455,203.1133046,303.9382228,1.656789907,5.509046037,0.272727,51064.57239
Hypertension,224,23640,3640,0,3600,12730,1534,0,1.454,0,71.6,0,2.68,35,335,17,54,709,0,0,0,58840
Low Blood Pressure,61,3100,4460,4460,0,3460,2154,14,0.043,0,16,0.9,0.08,101,86,5,253,3,0,0,0,88200
Kidney Stone,59,3880,4650,490,3600,3750,549,0,0.425,0,24,2.1,3.77,148,48,79,292,206,0,0,0,86100
coronary artery disease,492,5100,65360,32900,2000,24720,8091,0,2.665,0.029,10.5,0,2.01,21,109,41,171,311,11,83,0,3570
bronchitis,227,5320,34870,17110,1300,7560,3695,18,1.145,0.016,15.8,0.8,0.49,121,104,25,197,124,1,42,0,51270
asthma,234,21280,8510,0,4300,12770,1130,0,12.766,0,46.3,0,1.95,42,245,12,300,400,0,0,0,56440
common cold,354,5900,29590,18860,400,24290,14158,123,0.991,0.006,39.2,1.1,0.72,66,105,15,156,155,44,8,0,39200
influenza,62,420,15000,13750,0,0,0,0,0,0.167,0,25,0,0,0,0,10,48,38,0,0,84520
corona virus,349,20980,20600,410,900,19780,5197,108,5.461,0.025,38.7,4.8,0.47,15,169,23,234,594,0,0,0,36930
diarrhoea,312,3430,41440,300,3800,14730,2336,0,3.004,0,36.8,4.7,1.67,18,125,35,579,210,0,0,0,38550
cholera,276,16950,13130,7550,200,17390,4146,92,5.371,0.006,53.6,0.1,0.84,44,182,20,257,761,0,0,0,50530
